Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Maldives,1892,0.046,,42 [32-53],10.15 [9.48-10.85],98.25,10.1,2.07,99.05,13.9,28.86,69.11,No data,8.7 [8.12-9.31],78.41,,65.73,54 [37-83],5.87 [5.23-6.56]
Mali,18291866,3.34,12.1,57 [37-81],108.6 [94.85-123.8],64.59,,1.25,36.18,24.8,,52.98,No data,66.95 [60.59-73.83],60.89,391.8,,620 [472-833],34.76 [29.29-41.01]
Malta,1,0.12,26.4,8.5 [7.3-9.8],7.01 [6.21-7.92],100.0,11.3,7.56,99.96,10.8,28.6,71.32,No data,6.11 [5.41-6.89],81.65,,83.7,7 [4-11],4.7 [4.12-5.36]
Marshall Islands,28996,,,300 [230-380],35.68 [25.27-49.64],83.36,,,82.97,,,,,29.29 [21.34-39.25],,,,,16.61 [10.55-25.23]
Mauritania,690268,1.93,,107 [69-152],82.71 [48.1-142.5],46.69,,0.033,43.5,18.0,1.71,58.95,No data,55.03 [36.76-82.54],67.41,61.61,10.22,785 [560-1120],34.83 [18.91-63.04]
Mauritius,0,0.11,28.0,13 [9.7-16],14.49 [13.53-15.53],99.83,23.8,3.94,95.51,22.8,20.25,64.03,0.49 [0.36-0.65],12.75 [11.9-13.66],74.14,,33.83,73 [57-97],9.06 [8.35-9.82]
Mexico,9923501,0.45,15.2,22 [17-28],16.2 [15.39-17.17],94.26,65.4,4.92,89.42,15.9,23.25,65.76,No data,13.93 [13.24-14.76],75.87,0.2,24.17,36 [35-37],8.3 [7.75-8.91]
Micronesia (Federated States of),72590,1.01,,119 [91-151],33.66 [15.07-74.89],78.57,,2.44,88.31,26.5,,55.8,,27.79 [12.97-55.99],62.74,,,95 [44-204],17.3 [6.89-42.08]
Monaco,0,,,0 [0-0],3.52 [2.8-4.43],100.0,,,100.0,,,,,2.87 [2.28-3.61],,,,,1.95 [1.17-2.82]
Mongolia,43,1.61,29.0,428 [220-703],20.23 [19.81-20.66],52.86,,10.97,57.98,30.4,32.19,59.85,0.02 [0.01-0.02],17.28 [16.94-17.64],67.61,,37.88,47 [39-56],9.6 [9.03-10.19]
Montenegro,5,0.52,,15 [13-17],3.56 [3.18-4],95.91,11.2,10.92,97.73,20.9,23.76,66.64,0.05 [0.01-0.1],3.13 [2.8-3.52],75.27,,53.46,6 [3-10],2.1 [1.78-2.43]
Morocco,2917,0.58,15.9,102 [87-117],25.27 [20.78-30.6],67.69,,0.7,87.54,12.5,,63.29,0.03 [0.02-0.04],21.69 [17.82-26.3],72.46,0.0,,74 [58-92],16.13 [13.08-19.75]
