Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,Alcohol,BasicSanitization,CancerEtc,HALE,InfantMortality,LifeExpectancy,MaternalMortality,NeonatalMortality,BMI30Plus
San Marino,0,,,0.0,1.99,100.0,,100.0,,,1.77,,,0.93,No data
Sao Tome and Principe,199686,0.89,5.5,156.0,34.69,75.72,7.19,41.36,18.6,60.95,26.75,69.6,130.0,15.69,12.0
Saudi Arabia,1496,0.66,16.6,12.0,8.43,99.69,0.2,99.8,16.5,63.2,7.22,73.15,17.0,4.69,34.7
Senegal,11849373,2.38,9.8,123.0,52.78,66.61,0.73,50.09,18.4,58.17,36.4,67.2,346.0,23.96,8.5
Serbia,0,0.35,41.3,21.0,6.28,84.09,8.7,97.64,20.1,66.44,5.47,75.21,13.0,3.95,21.1
Seychelles,0,0.59,21.7,9.7,14.76,96.25,18.35,100.0,21.3,63.98,12.7,73.2,54.0,8.98,13.5
Sierra Leone,7500446,4.15,21.8,307.0,138.3,46.9,5.63,14.94,30.0,49.7,94.17,56.94,1180.0,34.28,8.3
Singapore,10473,0.083,16.5,45.0,2.72,100.0,2.07,100.0,10.0,73.2,2.18,82.81,9.0,1.0,6.0
Slovakia,7,0.37,32.0,6.5,6.22,100.0,11.53,97.93,17.7,67.64,5.09,77.01,6.0,3.06,20.1
Slovenia,10,0.32,23.1,7.2,2.5,99.4,12.74,99.11,13.1,70.04,2.01,80.47,7.0,1.37,19.8
Solomon Islands,534850,0.96,38.4,86.0,22.3,63.01,1.55,31.84,24.4,57.4,18.99,64.74,112.0,9.35,21.9
Somalia,5015936,4.75,,274.0,132.7,26.53,0.013,35.7,21.9,48.09,82.77,54.57,855.0,39.56,7.9
South Africa,6696701,1.29,32.2,988.0,37.07,78.97,9.61,73.89,26.6,54.11,28.5,62.57,125.0,11.04,27.8
South Sudan,9706562,4.03,,227.0,96.23,36.4,,9.6,19.6,53.02,62.37,61.99,1110.0,38.91,No data
Spain,299,0.22,29.3,9.9,3.3,100.0,11.32,99.9,10.1,71.56,2.74,82.33,4.0,1.93,23.4
Sri Lanka,33253,0.42,23.5,65.0,8.74,86.36,4.1,94.43,17.6,66.55,7.48,76.27,36.0,5.25,4.9
Sudan,26533962,4.08,,88.0,65.91,51.71,0.52,35.07,26.0,58.89,45.21,67.94,320.0,29.4,No data
Suriname,56918,0.38,,32.0,20.22,87.35,5.81,83.83,21.8,63.18,18.05,72.6,122.0,12.72,25.9
Sweden,185,0.41,32.0,9.2,2.87,100.0,9.13,99.3,9.3,71.43,2.33,81.75,4.0,1.59,20.2
Switzerland,0,0.099,25.7,7.4,4.31,100.0,11.58,99.89,8.7,71.75,3.78,82.61,5.0,2.99,19.1
Syrian Arab Republic,50998,0.37,,20.0,23.18,94.57,0.28,91.56,21.8,56.34,17.76,64.4,30.0,10.48,27.1
Tajikistan,123178,1.21,,86.0,37.75,71.69,3.11,96.13,25.4,61.43,32.86,68.66,18.0,16.21,13.7
Thailand,145146,0.41,24.1,163.0,10.8,99.02,8.36,97.96,14.6,68.02,9.27,77.41,38.0,6.34,9.4
Timor-Leste,1170044,0.44,40.8,498.0,50.76,65.32,2.01,51.32,19.9,60.34,43.24,68.87,160.0,21.43,3.6
Togo,5586475,2.46,8.1,52.0,,46.19,2.37,15.3,23.5,54.21,,61.92,398.0,26.66,8.1
Tonga,36871,1.37,30.6,16.0,,99.77,0.68,93.45,23.5,63.93,,72.33,54.0,7.5,47.5
Trinidad and Tobago,19323,0.25,,16.0,,98.18,6.88,93.4,21.5,65.19,,74.61,68.0,13.08,18.0
Tunisia,6648,0.48,27.9,38.0,,87.26,1.99,90.3,16.4,66.75,,76.7,46.0,12.06,26.3
Turkey,2009,0.32,30.1,18.0,,98.63,2.12,97.19,16.4,67.72,,77.79,19.0,6.34,31.5
Turkmenistan,49,0.8,,49.0,,97.01,5.3,97.85,30.6,61.73,,69.11,8.0,23.06,18.0
Tuvalu,10550,,50.8,207.0,,98.78,1.98,84.14,,,,,,18.33,50.9
Uganda,23239105,3.3,11.4,202.0,,38.23,15.14,18.42,21.9,56.29,,64.47,387.0,22.31,5.0
Ukraine,0,2.65,27.3,91.0,,91.33,10.16,96.22,25.9,63.79,,72.2,21.0,5.67,23.7
United Arab Emirates,0,0.26,18.7,0.78,,96.77,3.79,98.58,17.0,65.45,,75.31,3.0,4.2,31.0
United Kingdom of Great Britain and Northern Ireland,452,0.26,21.3,10.0,,100.0,11.21,99.11,11.2,69.67,,80.65,8.0,2.73,27.2
United Republic of Tanzania,33064128,2.79,14.5,306.0,,39.14,11.05,26.87,17.9,56.74,,65.36,556.0,22.1,8.0
United States of America,929,0.9,26.0,3.2,,96.97,9.82,99.97,14.3,66.56,,78.56,18.0,3.9,35.6
Uruguay,19,0.4,24.0,30.0,,92.64,6.99,96.2,17.1,67.54,,77.03,18.0,5.0,27.5
Uzbekistan,399873,1.09,12.8,79.0,,95.64,2.59,100.0,24.8,63.46,,71.45,30.0,12.98,16.0
Vanuatu,266041,0.86,25.1,63.0,,86.98,2.14,38.13,23.7,57.36,,64.64,76.0,12.67,24.5
Venezuela (Bolivarian Republic of),280243,0.3,,30.0,,95.83,6.82,93.94,18.2,65.1,,74.66,115.0,14.45,25.2
Viet Nam,4468764,0.93,,199.0,,90.73,7.86,80.08,17.3,64.89,,73.16,45.0,11.37,2.0
Yemen,5840695,3.74,22.2,48.0,,54.7,0.055,58.5,30.7,58.38,,67.47,169.0,26.65,16.5
Zambia,11830416,3.06,15.4,391.0,,40.59,6.89,25.98,18.0,52.71,,60.5,232.0,24.53,7.7
Zimbabwe,10346543,2.37,14.5,242.0,,51.03,4.92,37.57,19.4,51.17,,58.48,480.0,27.89,15.2
