Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Singapore,10473,0.083,16.5,45,2.72,100,2.7,2.07,100,10,,73.2,0.04,2.18,82.81,,60.09,9,1
Slovakia,7,0.37,32,6.5,6.22,100,24.3,11.53,97.93,17.7,34.44,67.64,No data,5.09,77.01,,60.09,6,3.06
Slovenia,10,0.32,23.1,7.2,2.5,99.4,4.5,12.74,99.11,13.1,28.15,70.04,No data,2.01,80.47,,88.24,7,1.37
Solomon Islands,534850,0.96,38.4,86,22.3,63.01,,1.55,31.84,24.4,,57.4,,18.99,64.74,66.85,,112,9.35
Somalia,5015936,4.75,,274,132.7,26.53,,0.013,35.7,21.9,,48.09,0.03,82.77,54.57,37.27,,855,39.56
South Africa,6696701,1.29,32.2,988,37.07,78.97,71.1,9.61,73.89,26.6,7.81,54.11,5.94,28.5,62.57,0.21,12.69,125,11.04
South Sudan,9706562,4.03,,227,96.23,36.4,,,9.6,19.6,,53.02,1.46,62.37,61.99,240.4,,1110,38.91
Spain,299,0.22,29.3,9.9,3.3,100,7.7,11.32,99.9,10.1,32.17,71.56,0.08,2.74,82.33,,52.61,4,1.93
Sri Lanka,33253,0.42,23.5,65,8.74,86.36,21,4.1,94.43,17.6,8.62,66.55,0.01,7.48,76.27,0,19.61,36,5.25
Sudan,26533962,4.08,,88,65.91,51.71,,0.52,35.07,26,4.07,58.89,0.09,45.21,67.94,35.88,8.25,320,29.4
Suriname,56918,0.38,,32,20.22,87.35,61.1,5.81,83.83,21.8,10.46,63.18,0.54,18.05,72.6,0.98,20.87,122,12.72
Sweden,185,0.41,32,9.2,2.87,100,4.4,9.13,99.3,9.3,42.86,71.43,No data,2.33,81.75,,117.2,4,1.59
Switzerland,0,0.099,25.7,7.4,4.31,100,2.6,11.58,99.89,8.7,41.9,71.75,0.05,3.78,82.61,,168.6,5,2.99
Syrian Arab Republic,50998,0.37,,20,23.18,94.57,,0.28,91.56,21.8,,56.34,<0.01,17.76,64.4,0,,30,10.48
Tajikistan,123178,1.21,,86,37.75,71.69,,3.11,96.13,25.4,,61.43,0.16,32.86,68.66,0,,18,16.21
Thailand,145146,0.41,24.1,163,10.8,99.02,44.8,8.36,97.96,14.6,4.65,68.02,0.14,9.27,77.41,1.34,23.68,38,6.34
Timor-Leste,1170044,0.44,40.8,498,50.76,65.32,41.9,2.01,51.32,19.9,6.95,60.34,0.11,43.24,68.87,0.12,14.82,160,21.43
Togo,5586475,2.46,8.1,52,,46.19,,2.37,15.3,23.5,0.49,54.21,0.79,,61.92,364.3,3.02,398,26.66
Tonga,36871,1.37,30.6,16,,99.77,,0.68,93.45,23.5,,63.93,,,72.33,,,54,7.5
Trinidad and Tobago,19323,0.25,,16,,98.18,,6.88,93.4,21.5,26.5,65.19,0.11,,74.61,,34.83,68,13.08
Tunisia,6648,0.48,27.9,38,,87.26,9.2,1.99,90.3,16.4,13.11,66.75,0.05,,76.7,,26.7,46,12.06
Turkey,2009,0.32,30.1,18,,98.63,24.9,2.12,97.19,16.4,17.99,67.72,No data,,77.79,0,26.22,19,6.34
Turkmenistan,49,0.8,,49,,97.01,,5.3,97.85,30.6,,61.73,No data,,69.11,0,,8,23.06
Tuvalu,10550,,50.8,207,,98.78,,1.98,84.14,,,,,,,,,,18.33
Uganda,23239105,3.3,11.4,202,,38.23,131.5,15.14,18.42,21.9,0.95,56.29,2.02,,64.47,236.1,15.57,387,22.31
Ukraine,0,2.65,27.3,91,,91.33,,10.16,96.22,25.9,,63.79,0.3,,72.2,,,21,5.67
United Arab Emirates,0,0.26,18.7,0.78,,96.77,,3.79,98.58,17,22.11,65.45,No data,,75.31,0,49.83,3,4.2
United Kingdom of Great Britain and Northern Ireland,452,0.26,21.3,10,,100,14.4,11.21,99.11,11.2,27.47,69.67,No data,,80.65,,82.94,8,2.73
United Republic of Tanzania,33064128,2.79,14.5,306,,39.14,,11.05,26.87,17.9,,56.74,1.91,,65.36,121.7,,556,22.1
United States of America,929,0.9,26,3.2,,96.97,22.3,9.82,99.97,14.3,25.78,66.56,0.12,,78.56,,,18,3.9
Uruguay,19,0.4,24,30,,92.64,55.6,6.99,96.2,17.1,,67.54,No data,,77.03,,,18,5
Uzbekistan,399873,1.09,12.8,79,,95.64,,2.59,100,24.8,,63.46,0.15,,71.45,0,,30,12.98
Vanuatu,266041,0.86,25.1,63,,86.98,,2.14,38.13,23.7,,57.36,,,64.64,2.9,,76,12.67
Venezuela (Bolivarian Republic of),280243,0.3,,30,,95.83,,6.82,93.94,18.2,,65.1,0.2,,74.66,10.57,,115,14.45
Viet Nam,4468764,0.93,,199,,90.73,,7.86,80.08,17.3,7.96,64.89,0.11,,73.16,0.17,14.23,45,11.37
Yemen,5840695,3.74,22.2,48,,54.7,,0.055,58.5,30.7,,58.38,0.04,,67.47,24.9,7.24,169,26.65
Zambia,11830416,3.06,15.4,391,,40.59,,6.89,25.98,18,,52.71,4.11,,60.5,202.5,,232,24.53
Zimbabwe,10346543,2.37,14.5,242,,51.03,,4.92,37.57,19.4,1.82,51.17,3.91,,58.48,97.65,13.83,480,27.89
